name,latitude_deg,longitude_deg,country,municipality,iata_code
Aleknagik / New Airport,59.2826004028,-158.617996216,US,Aleknagik,WKK
Sas Al Nakheel Air Base,24.44128,54.51696,AE,Sas Al Nakheel,
"""Ghost"" International Airport",33.284605,69.80734,AF,Khost,KHT
Honiara International Airport,-9.428,160.054993,SB,Honiara,HIR
Munda Airport,-8.32797,157.263,SB,Munda,MUA
Hongyuan Airport,32.53154,102.35224,CN,Ngawa (Hongyuan),AHJ
Nauru International Airport,-0.547458,166.919006,NR,Yaren District,INU
Boulder Clay Runway,-74.739373,164.03539,AQ,Zucchelli Station,
Concordia Skyway,-75.103278,123.35825,AQ,Concordia Station,
Vostok Skiway,-78.466139,106.84825,AQ,Vostok Station,
Alxa Left Banner Bayanhot Airport,38.74831,105.58858,CN,Bayanhot,AXF
Buka Airport,-5.4223198890686035,154.67300415039062,PG,Buka Island,BUA
Chimbu Airport,-6.024290084838867,144.9709930419922,PG,Kundiawa,CMU
Daru Airport,-9.08676,143.207993,PG,Daru,DAU
Goroka Airport,-6.081689834590001,145.391998291,PG,Goronka,GKA
Gurney Airport,-10.3114995956,150.333999634,PG,Gurney,GUR
Girua Airport,-8.80453968048,148.309005737,PG,Popondetta,PNP
Hoskins Airport,-5.463846,150.407327,PG,Kimbe,HKN
Kerema Airport,-7.96361017227,145.770996094,PG,Kerema,KMA
Kavieng Airport,-2.57940006256,150.807998657,PG,Kavieng,KVG
Madang Airport,-5.20707988739,145.789001465,PG,Madang,MAG
Mount Hagen Kagamuga Airport,-5.828212,144.299412,PG,Mount Hagen,HGU
Mendi Airport,-6.14774,143.656998,PG,Mendi,MDU
Momote Airport,-2.06189,147.423996,PG,Manus Island,MAS
Nadzab Airport,-6.569803,146.725977,PG,Lae,LAE
Port Moresby Jacksons International Airport,-9.44338035583496,147.22000122070312,PG,Port Moresby,POM
Tokua Airport,-4.34046,152.380005,PG,Kokopo,RAB
Vanimo Airport,-2.6926,141.3028,PG,Vanimo,VAI
Wapenamanda Airport,-5.635293,143.892231,PG,Wapenamanda,WBM
Wewak International Airport,-3.58383011818,143.669006348,PG,Wewak,WWK
Zabrat Airport,40.4955422161,49.9768066406,AZ,Baku,ZXT
Sitalchay Airbase,40.807313,49.431481,AZ,Sitalchay,
Qizilagach Air Base,39.006162,48.806312,AZ,Qizilagach,
Benguera Island Airport,-21.8533,35.438301,MZ,Benguera Island,BCW
Bezmer Air Base,42.454899,26.3522,BG,Bezmer,JAM
Aasiaat Airport,68.721802,-52.784698,GL,Aasiaat,JEG
Narsarsuaq Airport,61.1605,-45.425999,GL,Narsarsuaq,UAK
Nuuk Airport,64.193022,-51.676512,GL,Nuuk,GOH
Ilulissat Airport,69.243202,-51.057098,GL,Ilulissat,JAV
Kulusuk Airport,65.573601,-37.1236,GL,Kulusuk,KUS
Kangerlussuaq Airport,67.010446,-50.715294,GL,Kangerlussuaq,SFJ
Sisimiut Airport,66.951302,-53.729301,GL,Sisimiut,JHS
Pituffik Space Base,76.531197,-68.703201,GL,Pituffik,THU
Akureyri Airport,65.656573,-18.072018,IS,Akureyri,AEY
Egilsstaðir Airport,65.2833023071289,-14.401399612426758,IS,Egilsstaðir,EGS
Hornafjörður Airport,64.295601,-15.2272,IS,Höfn,HFN
Húsavík Airport,65.952301,-17.426001,IS,Húsavík,HZK
Ísafjörður Airport,66.058098,-23.1353,IS,Ísafjörður,IFJ
Keflavik International Airport,63.985001,-22.6056,IS,Reykjavík,KEF
Reykjavik Airport,64.1299972534,-21.9405994415,IS,Reykjavik,RKV
Siglufjörður Airport,66.137847,-18.908157,IS,Siglufjörður,SIJ
Vestmannaeyjar Airport,63.42430114746094,-20.278900146484375,IS,Vestmannaeyjar,VEY
Priština Adem Jashari International Airport,42.5728,21.035801,XK,Prishtina,PRN
Glauber de Andrade Rocha Airport,-14.907885,-40.914804,BR,Vitória da Conquista,VDC
Betong International Airport,5.79,101.15,TH,Betong,BTZ
Orsha Airport - Balbasovo Air Base,54.439999,30.2967,BY,Orsha,TXC
Bobrovichi Air Base,52.27830123901367,29.36000061035156,BY,Kalinovichi,
Osovtsy Air Base,52.556999,24.884001,BY,Byaroza,
Caye Caulker Airport,17.735015,-88.032862,BZ,Caye Caulker,CUK
Caye Chapel Airport,17.683792,-88.044985,BZ,Caye Chapel,CYC
Corozal Municipal Airport,18.3822,-88.411903,BZ,Corozal,CZH
Dangriga Airport,16.98251,-88.230988,BZ,Dangriga,DGA
Placencia Airport,16.536957,-88.361511,BZ,Placencia,PLJ
Punta Gorda Airport,16.1024,-88.808296,BZ,Punta Gorda,PND
Sartaneja Airport,18.3561,-88.130798,BZ,Sartaneja,SJX
John Greif II Airport,17.9139,-87.9711,BZ,San Pedro,SPR
Sir Barry Bowen Municipal Airport,17.517239,-88.195775,BZ,Belize City,TZA
Bazaruto Island Airport,-21.5411,35.4729,MZ,Bazaruto Island,BZB
Anahim Lake Airport,52.451501,-125.303776,CA,Anahim Lake,YAA
Qualicum Beach Airport,49.337456,-124.393086,CA,Qualicum Beach,XQU
Cache Creek-Ashcroft Regional Airport,50.775258,-121.321314,CA,Cache Creek,YZA
Bella Bella (Campbell Island) Airport,52.185001,-128.156994,CA,Bella Bella,ZEL
Boma Lukandu International Airport,-5.80543,12.99582,CD,Boma,
BNB - BOENDE,-0.2875,20.883056,CD,Boende,
Nuevo Chaitén Airport,-42.781943,-72.834999,CL,Chaitén,WCH
Laohutun Air Base,39.669998,121.765999,CN,Dalian (Wafangdian),
Pulandian Air Base,39.450901,122.017998,CN,"Pulandian, Dalian",
Beijing Shahezhen Air Base,40.149166107177734,116.3213882446289,CN,Beijing,
Beijing Tongxian Air Base,39.81111145019531,116.70833587646484,CN,Beijing,
Yuanmou Air Base,25.737499,101.882004,CN,Chuxiong (Yuanmou),YUA
Fengning Air Base,41.260799407958984,116.61799621582033,CN,,
Hohhot Bikeqi Air Base,40.737015,111.229749,CN,Hohhot,
Huairen Air Base,39.717499,113.142998,CN,Shuozhou,
Liangxiangzhen Air Base,39.757801,116.125999,CN,Beijing,
Tangguantun Air Base,38.781101,117.068001,CN,Jinghai,
Wenshui Air Base,37.407799,111.966003,CN,Lüliang,
Yangcun Air Base,39.37329864501953,117.09500122070312,CN,,
Yongning Air Base,40.50310134887695,116.10800170898438,CN,Yongning,
Zhangjiakou Ningyuan Airport,40.738602,114.93,CN,Zhangjiakou,ZQZ
Tangshan Zunhua Air Base,40.102501,117.887001,CN,Tangshan,
Chengdu Huangtianba Air Base,30.705299,103.949997,CN,Chengdu (Qingyang),
Baoshan Yunrui Airport,25.053301,99.168297,CN,Baoshan (Longyang),BSD
Chongqing Baishiyi Air Base,29.4953,106.359001,CN,Chongqing,
Lincang Boshang Airport,23.7381,100.025002,CN,Lincang,LNJ
Luliang Air Base,24.988192,103.642833,CN,Qujing (Luliang),
Honghe Mengzi Airport / Mengzi Air Base,23.3953,103.334,CN,Honghe,
Qionglai Air Base,30.49099,103.466139,CN,Chengdu (Qionglai),
Xigaze Peace Airport / Shigatse Air Base,29.3519,89.311401,CN,Xigazê (Samzhubzê),RKZ
Wenshan Air Base,23.715599060058594,103.8270034790039,CN,,
Xiangyun Midu Air Base,25.445299,100.735001,CN,Dali (Xiangyun),
Panzhihua Bao'anying Airport,26.54,101.79852,CN,Panzhihua (Renhe),PZI
Baihe Ningming Air Base,22.120481,107.125046,CN,Ningming,
Changsha Datuopu Airport / Changsha Air Base,28.068522,112.957306,CN,Changsha (Tianxin),
Dangyang Air Base,30.798599,111.809998,CN,Yichang (Dangyang),
